action ,command
     0 ,"$,1,<seq>,MTRS,G,C01,01,A,1,G4,"
     1 ,"$,1,<seq>,MTRS,G,C01,02,A,1,G4,"
     2 ,"$,1,<seq>,MTRS,G,C01,03,A,1,G4,"
     3 ,"$,1,<seq>,MTRS,G,C01,04,A,1,G4,"
     4 ,"$,1,<seq>,MTRS,G,C01,05,A,1,G4,"
     5 ,"$,1,<seq>,MTRS,G,C01,06,A,1,G4,"
     6 ,"$,1,<seq>,MTRS,G,C01,07,A,1,G4,"
     7 ,"$,1,<seq>,MTRS,G,C01,08,A,1,G4,"
     8 ,"$,1,<seq>,MTRS,G,C01,09,A,1,G4,"
     9 ,"$,1,<seq>,MTRS,G,C01,10,A,1,G4,"
    10 ,"$,1,<seq>,MTRS,G,C01,11,A,1,G4,"
    11 ,"$,1,<seq>,MTRS,G,C01,12,A,1,G4,"
    12 ,"$,1,<seq>,MTRS,G,C01,13,A,1,G4,"
    13 ,"$,1,<seq>,MTRS,G,C01,14,A,1,G4,"
    14 ,"$,1,<seq>,MTRS,G,C01,15,A,1,G4,"
    15 ,"$,1,<seq>,MTRS,G,C01,16,A,1,G4,"
    16 ,"$,1,<seq>,MTRS,G,C01,17,A,1,G4,"
    17 ,"$,1,<seq>,MTRS,G,C01,18,A,1,G4,"
    18 ,"$,1,<seq>,MTRS,G,C01,19,A,1,G4,"
    19 ,"$,1,<seq>,MTRS,G,C01,20,A,1,G4,"
    20 ,"$,1,<seq>,MTRS,G,C01,21,A,1,G4,"
    21 ,"$,1,<seq>,MTRS,G,C01,22,A,1,G4,"
    22 ,"$,1,<seq>,MTRS,G,C01,23,A,1,G4,"
    23 ,"$,1,<seq>,MTRS,G,C01,24,A,1,G4,"
    24 ,"$,1,<seq>,MTRS,G,C01,25,A,1,G4,"
    25 ,"$,1,<seq>,MTRS,P,C02,01,A,2,P4,"
    26 ,"$,1,<seq>,MTRS,P,C02,02,A,2,P4,"
    27 ,"$,1,<seq>,MTRS,P,C02,03,A,2,P4,"
    28 ,"$,1,<seq>,MTRS,P,C02,04,A,2,P4,"
    29 ,"$,1,<seq>,MTRS,P,C02,05,A,2,P4,"
    30 ,"$,1,<seq>,MTRS,P,C02,06,A,2,P4,"
    31 ,"$,1,<seq>,MTRS,P,C02,07,A,2,P4,"
    32 ,"$,1,<seq>,MTRS,P,C02,08,A,2,P4,"
    33 ,"$,1,<seq>,MTRS,P,C02,09,A,2,P4,"
    34 ,"$,1,<seq>,MTRS,P,C02,10,A,2,P4,"
    35 ,"$,1,<seq>,MTRS,P,C02,11,A,2,P4,"
    36 ,"$,1,<seq>,MTRS,P,C02,12,A,2,P4,"
    37 ,"$,1,<seq>,MTRS,P,C02,13,A,2,P4,"
    38 ,"$,1,<seq>,MTRS,P,C02,14,A,2,P4,"
    39 ,"$,1,<seq>,MTRS,P,C02,15,A,2,P4,"
    40 ,"$,1,<seq>,MTRS,P,C02,16,A,2,P4,"
    41 ,"$,1,<seq>,MTRS,P,C02,17,A,2,P4,"
    42 ,"$,1,<seq>,MTRS,P,C02,18,A,2,P4,"
    43 ,"$,1,<seq>,MTRS,P,C02,19,A,2,P4,"
    44 ,"$,1,<seq>,MTRS,P,C02,20,A,2,P4,"
    45 ,"$,1,<seq>,MTRS,P,C02,21,A,2,P4,"
    46 ,"$,1,<seq>,MTRS,P,C02,22,A,2,P4,"
    47 ,"$,1,<seq>,MTRS,P,C02,23,A,2,P4,"
    48 ,"$,1,<seq>,MTRS,P,C02,24,A,2,P4,"
    49 ,"$,1,<seq>,MTRS,P,C02,25,A,2,P4,"
    50 ,"$,1,<seq>,MTRS,P,P01,01,A,1,P4,"
    51 ,"$,2,<seq>,MALN,0,00000000,"
    52 ,"$,1,<seq>,MTRS,G,P01,01,A,2,G4,"
